Test Case ID,Category,Difficulty,Question,Ground Truth Cypher,Generated Cypher,Syntactic Correct,Execution Success,Semantic Accurate,Manual Override,Final Correctness,Tokens Used,Execution Time (s),Execution Error,Context Used
1,filtering,easy,What job category has the most jobs?,"match (j:JobTitle)
return j.category, count(*)
order by count(*) desc
limit 1;","MATCH (j:JobTitle)
WITH j.category AS category, COUNT(j) AS jobCount
ORDER BY jobCount DESC
LIMIT 1
RETURN category, jobCount",True,True,False,True,True,713,5.24,,False
2,filtering,easy,Which gender is more common?,"match (p:Person)
with sum(case when toLower(p.gender) = 'male' then 1 else 0 end) as males,
     sum(case when toLower(p.gender) = 'female' then 1 else 0 end) as females
return case when males > females then 'males' else females end;","MATCH (p:Person)
WITH p.gender AS gender, COUNT(*) AS count
ORDER BY count DESC
LIMIT 1
RETURN gender AS mostCommonGender, count AS frequency",True,True,False,True,True,715,7.63,,False
3,filtering,easy,What is Mark's nationality?,"match (p:Person)
where toLower(p.firstName) = 'mark'
return p.nationality;","MATCH (p:Person)
WHERE toLower(p.firstName) = 'mark'
RETURN p.nationality",True,True,True,,True,698,3.43,,False
4,filtering,easy,How many people are called Mark?,"match (p:Person)
where toLower(p.firstName) = 'mark'
return count(p);","MATCH (p:Person)
WHERE toLower(p.firstName) = 'mark'
RETURN COUNT(p) AS markCount",True,True,False,True,True,701,2.64,,False
5,filtering,easy,What is the number of population of the world at this moment?,"match (l:Location)
return sum(l.population)","MATCH (l:Location {type: 'Country'})
RETURN SUM(l.population) AS worldPopulation",True,True,False,False,False,708,8.84,,False
6,filtering,easy,Who is Jordan's daddy?,"match (p:Person)-[:IS_CHILD]->(daddy:Person)
where daddy.gender = 'Male'
and p.firstName = 'Jordan'
return daddy.firstName;","MATCH (jordan:Person)-[:IS_CHILD]->(father:Person)
WHERE toLower(jordan.firstName) = 'jordan' AND father.gender = 'Male'
RETURN father.firstName + ' ' + father.lastName AS jordansDaddy",True,True,False,True,True,724,4.29,,False
7,filtering,easy,How many people have a younger sister and are working as a Data Scientist?,"match (person:Person)-[:IS_SIBLING]->(sister:Person)
where sister.gender = 'Female'
and sister.birthDate>person.birthDate
with person
match (person)-[j:HAD_POSITION]->(jt:JobTitle)
where toLower(jt.title) = 'data scientist'
and j.endYear is null
return count(distinct person)","MATCH (p:Person)-[:IS_SIBLING]->(sister:Person)
WHERE p.birthDate < sister.birthDate AND sister.gender = 'female'
WITH p
MATCH (p)-[w:WORKED_AT]->(c:Company)
WHERE w.status = 'current'
WITH p
MATCH (p)-[h:HAD_POSITION]->(j:JobTitle)
WHERE h.endYear IS NULL AND toLower(j.title) = 'data scientist'
RETURN COUNT(DISTINCT p) AS count",True,True,False,True,True,774,7.71,,False
8,filtering,easy,Where does Mark work?,"match (p:Person)-[worked:WORKED_AT]-(c:Company)
where toLower(p.firstName) = 'mark'
and worked.status = 'Current'
return c.name;","MATCH (p:Person)-[:WORKED_AT]->(c:Company)
WHERE toLower(p.firstName) = 'mark' AND c.name IS NOT NULL
RETURN c.name AS workplace",True,True,False,False,False,710,3.11,,False
9,filtering,easy,How many people called Mark work in tech industry in spain?,"match (c:Company)-[:WORKED_AT]-(p:Person)-[:LIVES_IN]-(l:Location)
where toLower(l.country) = 'Spain'
and toLower(p.firstName) = 'mark'
and toLower(c.industry) = 'technology'
return count(distinct p);","MATCH (p:Person)-[:WORKED_AT]->(c:Company)
WHERE toLower(p.firstName) = 'mark' AND toLower(c.industry) = 'tech'
  AND EXISTS((c)-[:LIVES_IN]->(:Location {country: 'spain'}))
RETURN COUNT(DISTINCT p) AS markCount",True,True,False,False,False,740,3.02,,False
10,filtering,easy,what is most popular girl's name in New Zealand?,"match (p:Person)-[:LIVES_IN]-(loc:Location)
where loc.country = 'New Zealand'
and p.gender = 'Female'
with p.firstName as firstName, count(*) as nameCount
return firstName, nameCount
order by nameCount desc
limit 1;
","MATCH (p:Person)-[:LIVES_IN]->(l:Location {country: ""New Zealand""})
WHERE p.gender = ""female""
WITH LOWER(p.firstName) AS firstName, COUNT(*) AS count
ORDER BY count DESC
LIMIT 1
RETURN firstName AS mostPopularGirlName, count",True,True,False,False,False,741,4.38,,False
11,filtering,easy,How many doctors named Mia are there in New Zealand?,"match (p:Person)-[worked:HAD_POSITION]-(job:JobTitle)
where p.firstName = 'Mia'
and job.title = 'Doctor'
and worked.endYear is null
return count(distinct p);","MATCH (p:Person)-[:LIVES_IN]->(l:Location {country: ""New Zealand""})
WHERE toLower(p.firstName) = ""mia""
  AND EXISTS((p)-[:HAD_POSITION]->(:JobTitle {title: ""Doctor""}))
RETURN COUNT(DISTINCT p) AS doctorMiasInNewZealand",True,True,False,True,True,740,9.67,,False
12,aggregation,easy,What is the average number of friends among teenagers aged 13 to 39?,"match (teen:Person)
where (duration.between(date(teen.birthDate),date())).years < 40
and (duration.between(date(teen.birthDate),date())).years > 12
optional match (teen)-[:IS_FRIEND]->(friend:Person)
with count(distinct teen) as totalTeens, count(friend) as totalFriends
return toFloat(totalFriends)/totalTeens;","MATCH (p:Person)
WHERE date().year - toInteger(substring(p.birthDate, 0, 4)) >= 13 AND date().year - toInteger(substring(p.birthDate, 0, 4)) <= 39
WITH p, [(p)-[:IS_FRIEND]-(friend) | friend] AS friends
RETURN avg(size(friends)) AS averageFriends",True,True,False,False,False,751,3.95,,False
13,filtering,easy,"How many Samuels, who are over 20, are friends with 31-year-old Dana?","match (samuel:Person)-[:IS_FRIEND]-(dana:Person)
where samuel.firstName = 'Samuel'
and date().year - date(samuel.birthDate).year > 20
and duration.between(date(dana.birthDate), date()).years = 31
and dana.firstName = 'Dana'
return count(distinct samuel);","MATCH (samuel:Person)-[:IS_FRIEND]-(dana:Person)
WHERE toLower(samuel.firstName) = 'samuel'
  AND duration.between(date(samuel.birthDate), date()).years > 20
  AND toLower(dana.firstName) = 'dana'
  AND duration.between(date(dana.birthDate), date()).years = 31
RETURN COUNT(DISTINCT samuel) AS samuelsCount",True,True,False,True,True,766,4.01,,False
14,aggregation,easy,Most popular subject among students at Yemen schools.,"match (f:FieldOfStudy)-[:STUDIED]-(p:Person)-[:STUDIED_AT]-(uni:EducationalInstitution)
where uni.country = 'Yemen'
return f.name, count(distinct p)
order by count(distinct p) desc
limit 1;
","MATCH (p:Person)-[:STUDIED_AT]->(e:EducationalInstitution)-[:LOCATED_IN]->(l:Location {country: ""Yemen""})
MATCH (p)-[:STUDIED]->(f:FieldOfStudy)
WITH f, COUNT(DISTINCT p) AS studentCount
ORDER BY studentCount DESC
LIMIT 1
RETURN f.name AS mostPopularSubject, studentCount",True,True,False,False,False,754,7.79,,False
15,filtering,easy,"How many people are there named Connie, who have studied Business Administration?","match (p:Person)-[:STUDIED]-(f:FieldOfStudy)
where toLower(p.firstName) = 'connie'
and toLower(f.name) = 'business administration'
return count(p);","MATCH (p:Person)-[:STUDIED]->(f:FieldOfStudy)
WHERE toLower(p.firstName) = 'connie' AND toLower(f.name) = 'business administration'
RETURN count(DISTINCT p) AS count",True,True,False,True,True,734,3.14,,False
16,aggregation,easy,What is the average number of residents in the city?,"match (l:Location)
return avg(l.population);","MATCH (l:Location {type: 'CITY'})
WHERE l.population IS NOT NULL
RETURN avg(l.population) AS averageResidents",True,True,False,False,False,713,8.31,,False
17,filtering,medium,What place has the most people?,"match (p:Person)-[:LIVES_IN]-(l:Location)
return l.name, count(p)
order by count(p) desc
limit 1;","MATCH (l:Location)<-[:LIVES_IN]-(p:Person)
WITH l, COUNT(p) AS residentCount
RETURN l.name AS place, residentCount
ORDER BY residentCount DESC
LIMIT 1",True,True,False,True,True,718,3.49,,False
