Test Case ID,Category,Difficulty,Question,Ground Truth Cypher,Generated Cypher,Syntactic Correct,Execution Success,Semantic Accurate,Manual Override,Final Correctness,Tokens Used,Execution Time (s),Execution Error,Context Used
1,filtering,easy,What job category has the most jobs?,"match (j:JobTitle)
return j.category, count(*)
order by count(*) desc
limit 1;","MATCH (j:JobTitle)
WITH j.category AS category, COUNT(j) AS jobCount
ORDER BY jobCount DESC
LIMIT 1
RETURN category, jobCount",True,True,False,True,True,1439,9.92,,True
2,filtering,easy,Which gender is more common?,"match (p:Person)
with sum(case when toLower(p.gender) = 'male' then 1 else 0 end) as males,
     sum(case when toLower(p.gender) = 'female' then 1 else 0 end) as females
return case when males > females then 'males' else females end;","MATCH (p:Person)
WITH p.gender AS gender, COUNT(p) AS count
ORDER BY count DESC
LIMIT 1
RETURN gender AS moreCommonGender, count AS genderCount",True,True,False,True,True,1379,5.33,,True
3,filtering,easy,What is Mark's nationality?,"match (p:Person)
where toLower(p.firstName) = 'mark'
return p.nationality;","MATCH (p:Person {firstName: 'Mark', lastName: 'Johnson'})
RETURN p.nationality AS Nationality",True,True,False,True,True,6174,6.84,,True
4,filtering,easy,How many people are called Mark?,"match (p:Person)
where toLower(p.firstName) = 'mark'
return count(p);","MATCH (p:Person)
WHERE toLower(p.firstName) = 'mark'
RETURN COUNT(p) AS markCount",True,True,False,True,True,2503,7.08,,True
5,filtering,easy,What is the number of population of the world at this moment?,"match (l:Location)
return sum(l.population)","MATCH (l:Location)
WHERE l.type = 'City'
RETURN SUM(l.population) AS totalPopulation",True,True,False,True,True,1540,6.47,,True
6,filtering,easy,Who is Jordan's daddy?,"match (p:Person)-[:IS_CHILD]->(daddy:Person)
where daddy.gender = 'Male'
and p.firstName = 'Jordan'
return daddy.firstName;","MATCH (jordan:Person {firstName: 'Jordan', lastName: 'Gonzalez'})<-[:IS_PARENT]-(parent:Person)
WHERE parent.gender = 'Male'
RETURN parent.firstName + ' ' + parent.lastName AS daddy",True,True,False,True,True,1740,7.77,,True
7,filtering,easy,How many people have a younger sister and are working as a Data Scientist?,"match (person:Person)-[:IS_SIBLING]->(sister:Person)
where sister.gender = 'Female'
and sister.birthDate>person.birthDate
with person
match (person)-[j:HAD_POSITION]->(jt:JobTitle)
where toLower(jt.title) = 'data scientist'
and j.endYear is null
return count(distinct person)","MATCH (p:Person)-[:IS_SIBLING]->(s:Person)
WHERE p.birthDate < s.birthDate AND s.gender = 'Female'
WITH p
MATCH (p)-[w:WORKED_AT]->(c:Company)
WHERE w.status = 'Current'
WITH p, c
MATCH (p)-[h:HAD_POSITION]->(j:JobTitle {title: 'Data Scientist'})
WHERE h.companyId = c.id AND h.endYear IS NULL
RETURN COUNT(DISTINCT p) AS count",True,True,False,True,True,1420,9.31,,True
8,filtering,easy,Where does Mark work?,"match (p:Person)-[worked:WORKED_AT]-(c:Company)
where toLower(p.firstName) = 'mark'
and worked.status = 'Current'
return c.name;","MATCH (p:Person {firstName: 'Mark', lastName: 'Johnson'})-[w:WORKED_AT]->(c:Company)
WHERE w.status = 'Current'
RETURN c.name AS CurrentWorkplace",True,True,False,True,True,3186,5.16,,True
9,filtering,easy,How many people called Mark work in tech industry in spain?,"match (c:Company)-[:WORKED_AT]-(p:Person)-[:LIVES_IN]-(l:Location)
where toLower(l.country) = 'Spain'
and toLower(p.firstName) = 'mark'
and toLower(c.industry) = 'technology'
return count(distinct p);","MATCH (p:Person)-[:WORKED_AT]->(c:Company)
WHERE toLower(p.firstName) = 'mark'
  AND c.industry = 'Technology'
  AND toLower(c.headquarters) CONTAINS 'spain'
RETURN COUNT(DISTINCT p) AS markCount",True,True,False,True,True,1384,6.55,,True
10,filtering,easy,what is most popular girl's name in New Zealand?,"match (p:Person)-[:LIVES_IN]-(loc:Location)
where loc.country = 'New Zealand'
and p.gender = 'Female'
with p.firstName as firstName, count(*) as nameCount
return firstName, nameCount
order by nameCount desc
limit 1;
","MATCH (p:Person)-[:IS_PARENT]->(c:Person)
WHERE toLower(p.nationality) = 'new zealand'
WITH c.firstName AS girlName, COUNT(*) AS nameCount
WHERE toLower(c.gender) = 'female'
RETURN girlName, nameCount
ORDER BY nameCount DESC
LIMIT 1",True,False,False,,False,1476,6.8,"{code: Neo.ClientError.Statement.SyntaxError} {message: In a WITH/RETURN with DISTINCT or an aggregation, it is not possible to access variables declared before the WITH/RETURN: c (line 4, column 15 (offset: 153))
""WHERE toLower(c.gender) = 'female'""
               ^}",True
